"","module_id","module_title","module_hierarchy_level"
".388",i4x://PurdueX/nano515x/html/a7e37fbe6293408eb1f43a72ab370796,"L5.4 Table of Contents",4
".389",i4x://PurdueX/nano515x/discussion/89719090112e414aa89d23589ca31968,"L5.4 Lecture Discussion",4
".390",i4x://PurdueX/nano515x/vertical/a1762240db1a4e5990f68af4010c4ce6,"L5.4 Quiz",3
".394",i4x://PurdueX/nano515x/discussion/af9278e6cdbf40148dcb83aa0f9660ba,"L5.4 Quiz Discussion",4
".396",i4x://PurdueX/nano515x/vertical/660cd542eed140a8ac1cd15f8b7f0120,"L5.5 Lecture",3
".398",i4x://PurdueX/nano515x/html/2cc43330b8a84d7a913c18641b881636,"L5.5 Table of Contents",4
".399",i4x://PurdueX/nano515x/discussion/f2cd75100b54406faf62443472bb7de0,"L5.5 Lecture Discussion",4
".401",i4x://PurdueX/nano515x/vertical/28bb5cd953b4421b9681b4cfd05a1387,"L5.1 - L5.5: Homework",3
".414",i4x://PurdueX/nano515x/discussion/0d7dd1d98f5742579bb49d9da6c0c553,"Week 5: Homework Discussion ",4
".416",i4x://PurdueX/nano515x/vertical/3b724209b7404a41a569e473b0b83bf9,"L5.1 - L5.5 Homework Tutorial and Solutions",3
".418",i4x://PurdueX/nano515x/html/bbf68b0a448844fe99bb78c7535b5ebe,"Week 5: Tutorial Table of Contents",4
".419",i4x://PurdueX/nano515x/discussion/f9d23b56ee42405ba517002e40a944d4,"Week 5: Homework Tutorial Discussion ",4
".421",i4x://PurdueX/nano515x/vertical/73caa874548642fbaae982f5e83df556,"Week 5: Exam",3
