"","orig_student_id","module_number","time","temp_student_id"
"73",4859764,112,2015-03-02 21:04:31,3
"74",4859764,133,2015-03-02 21:04:31,3
"75",4859764,57,2015-03-02 21:04:30,3
"76",4859764,261,2015-03-02 21:04:35,3
"77",4859764,78,2015-03-02 21:04:30,3
"78",4859764,158,2015-03-02 21:04:32,3
"79",4859764,26,2015-03-02 21:04:29,3
"80",4859764,201,2015-03-02 21:04:33,3
"81",4859764,58,2015-03-02 21:04:30,3
"82",4859764,269,2015-03-02 21:04:34,3
"83",4859764,93,2015-03-02 21:04:30,3
"84",4859764,129,2015-03-02 21:04:31,3
"85",4859764,172,2015-03-02 21:04:32,3
"86",4859764,11,2015-02-03 14:31:20,3
"87",4859764,271,2015-03-02 21:04:34,3
"88",4859764,103,2015-03-02 21:04:31,3
"89",4859764,146,2015-03-02 21:04:32,3
"90",4859764,114,2015-03-02 21:04:31,3
"91",4859764,160,2015-03-02 21:04:32,3
"92",4859764,123,2015-03-02 21:04:31,3
"93",4859764,59,2015-03-02 21:04:30,3
"94",4859764,218,2015-03-02 21:04:33,3
"95",4859764,266,2015-03-02 21:04:34,3
"96",4859764,30,2015-02-12 16:01:23,3
"97",4859764,256,2015-03-02 21:04:35,3
"98",4859764,260,2015-03-02 21:04:35,3
"99",4859764,229,2015-03-02 21:04:34,3
"100",4859764,142,2015-03-02 21:04:32,3
"101",4859764,155,2015-03-02 21:04:32,3
"102",4859764,64,2015-03-02 21:04:30,3
"103",4859764,246,2015-03-02 21:04:34,3
"104",4859764,244,2015-03-02 21:04:34,3
"105",4859764,247,2015-03-02 21:04:34,3
"106",4859764,10,2015-02-03 14:31:20,3
"107",4859764,210,2015-03-02 21:04:33,3
"108",4859764,61,2015-03-02 21:04:30,3
"109",4859764,42,2015-02-12 16:00:53,3
"110",4859764,239,2015-03-02 21:04:34,3
"111",4859764,222,2015-03-02 21:04:34,3
"112",4859764,245,2015-03-02 21:04:34,3
"113",4859764,203,2015-03-02 21:04:33,3
"114",4859764,44,2015-02-12 16:00:53,3
"115",4859764,48,2015-02-12 16:00:53,3
"116",4859764,270,2015-03-02 21:04:34,3
"117",4859764,205,2015-03-02 21:04:33,3
"118",4859764,167,2015-03-02 21:04:32,3
"119",4859764,128,2015-03-02 21:04:31,3
"120",4859764,249,2015-03-02 21:04:34,3
"121",4859764,219,2015-03-02 21:04:33,3
"122",4859764,109,2015-03-02 21:04:31,3
"123",4859764,100,2015-03-02 21:04:30,3
"124",4859764,182,2015-03-02 21:04:32,3
"125",4859764,19,2015-03-02 21:04:29,3
"126",4859764,139,2015-03-02 21:04:31,3
