"","temp_student_id","number_accesses"
"745",745,164
"746",746,5
"747",747,152
"748",748,4
"749",749,224
"750",750,50
"751",751,9
"752",752,9
"753",753,89
"754",754,59
"755",755,9
"756",756,68
"757",757,2
"758",758,2
"759",759,37
"760",760,3
"761",761,11
"762",762,19
"763",763,71
"764",764,10
"765",765,57
"766",766,9
"767",767,9
"768",768,250
"769",769,12
"770",770,63
"771",771,3
"772",772,45
"773",773,92
"774",774,194
"775",775,192
"776",776,15
"777",777,47
"778",778,60
"779",779,30
"780",780,243
"781",781,9
"782",782,67
"783",783,198
"784",784,3
"785",785,101
"786",786,15
"787",787,45
"788",788,56
"789",789,10
"790",790,236
"791",791,66
"792",792,3
"793",793,223
"794",794,93
"795",795,4
"796",796,69
"797",797,8
"798",798,3
"799",799,72
"800",800,17
"801",801,5
"802",802,144
"803",803,262
"804",804,78
"805",805,8
"806",806,4
"807",807,2
"808",808,5
"809",809,12
"810",810,135
"811",811,8
"812",812,66
"813",813,139
"814",814,109
"815",815,10
"816",816,10
"817",817,9
"818",818,3
"819",819,9
"820",820,98
"821",821,35
"822",822,15
"823",823,194
"824",824,26
"825",825,3
"826",826,203
"827",827,15
"828",828,128
"829",829,4
"830",830,119
"831",831,10
"832",832,26
"833",833,3
"834",834,10
"835",835,117
"836",836,3
"837",837,11
"838",838,16
"839",839,12
"840",840,27
"841",841,232
"842",842,4
"843",843,45
"844",844,5
"845",845,3
"846",846,4
"847",847,37
"848",848,14
"849",849,58
"850",850,65
"851",851,8
"852",852,25
"853",853,12
"854",854,147
"855",855,191
"856",856,62
"857",857,92
"858",858,69
"859",859,3
"860",860,249
"861",861,131
"862",862,203
"863",863,58
"864",864,12
"865",865,3
"866",866,122
"867",867,8
"868",868,137
"869",869,14
"870",870,116
"871",871,3
"872",872,21
"873",873,271
"874",874,58
"875",875,4
"876",876,25
"877",877,4
"878",878,164
"879",879,97
"880",880,4
"881",881,4
"882",882,9
"883",883,5
"884",884,32
"885",885,199
"886",886,62
"887",887,191
"888",888,17
"889",889,3
"890",890,3
"891",891,4
"892",892,14
"893",893,8
"894",894,3
"895",895,10
"896",896,91
"897",897,32
"898",898,3
"899",899,3
"900",900,236
"901",901,34
"902",902,22
"903",903,14
"904",904,11
"905",905,62
"906",906,10
"907",907,11
"908",908,204
"909",909,3
"910",910,194
"911",911,8
"912",912,202
"913",913,195
"914",914,4
"915",915,15
"916",916,3
"917",917,11
"918",918,5
"919",919,254
"920",920,3
"921",921,8
"922",922,65
"923",923,10
"924",924,10
"925",925,6
"926",926,8
"927",927,11
"928",928,27
"929",929,34
"930",930,9
"931",931,67
"932",932,9
"933",933,84
"934",934,4
"935",935,3
"936",936,8
"937",937,41
"938",938,3
"939",939,6
"940",940,26
"941",941,15
"942",942,64
"943",943,95
"944",944,95
"945",945,96
"946",946,4
"947",947,34
"948",948,71
"949",949,31
"950",950,9
"951",951,13
"952",952,11
"953",953,16
"954",954,249
"955",955,118
"956",956,98
"957",957,252
"958",958,192
"959",959,10
"960",960,10
"961",961,3
"962",962,105
"963",963,4
"964",964,9
"965",965,159
"966",966,63
"967",967,46
"968",968,164
"969",969,28
"970",970,11
"971",971,18
"972",972,211
"973",973,67
"974",974,63
"975",975,6
"976",976,11
"977",977,70
"978",978,63
"979",979,57
"980",980,4
"981",981,116
"982",982,4
"983",983,61
"984",984,9
"985",985,11
"986",986,120
"987",987,3
"988",988,12
"989",989,3
"990",990,57
"991",991,27
"992",992,191
"993",993,3
"994",994,3
"995",995,4
"996",996,23
"997",997,8
"998",998,95
"999",999,21
"1000",1000,3
"1001",1001,129
"1002",1002,8
"1003",1003,10
"1004",1004,62
"1005",1005,24
"1006",1006,10
"1007",1007,3
"1008",1008,4
"1009",1009,205
"1010",1010,3
"1011",1011,57
"1012",1012,195
"1013",1013,14
"1014",1014,39
"1015",1015,41
"1016",1016,202
"1017",1017,124
"1018",1018,51
"1019",1019,204
"1020",1020,4
"1021",1021,9
"1022",1022,248
"1023",1023,133
"1024",1024,3
"1025",1025,26
"1026",1026,10
"1027",1027,210
"1028",1028,14
"1029",1029,3
"1030",1030,3
